,:START_ID,:END_ID,relation,:TYPE
388,HN7653,GJ4,channel_tropism,channel_tropism
389,HN6402,GJ9,channel_tropism,channel_tropism
390,HN6402,GJ5,channel_tropism,channel_tropism
391,HN6402,GJ2,channel_tropism,channel_tropism
392,HN6402,GJ10,channel_tropism,channel_tropism
393,HN1426,GJ2,channel_tropism,channel_tropism
394,HN3661,GJ6,channel_tropism,channel_tropism
395,HN3661,GJ4,channel_tropism,channel_tropism
396,HN3661,GJ1,channel_tropism,channel_tropism
397,HN3193,GJ9,channel_tropism,channel_tropism
398,HN3193,GJ7,channel_tropism,channel_tropism
399,HN3193,GJ5,channel_tropism,channel_tropism
400,HN353,GJ4,channel_tropism,channel_tropism
401,HN5471,GJ4,channel_tropism,channel_tropism
402,HN5471,GJ2,channel_tropism,channel_tropism
403,HN2081,GJ5,channel_tropism,channel_tropism
404,HN2081,GJ2,channel_tropism,channel_tropism
405,HN7385,GJ7,channel_tropism,channel_tropism
406,HN7385,GJ6,channel_tropism,channel_tropism
407,HN7385,GJ4,channel_tropism,channel_tropism
408,HN7385,GJ2,channel_tropism,channel_tropism
409,HN465,GJ4,channel_tropism,channel_tropism
410,HN699,GJ4,channel_tropism,channel_tropism
411,HN699,GJ2,channel_tropism,channel_tropism
412,HN2634,GJ6,channel_tropism,channel_tropism
413,HN2634,GJ2,channel_tropism,channel_tropism
414,HN2634,GJ10,channel_tropism,channel_tropism
415,HN7884,GJ5,channel_tropism,channel_tropism
416,HN7884,GJ2,channel_tropism,channel_tropism
417,HN6435,GJ2,channel_tropism,channel_tropism
418,HN6435,GJ1,channel_tropism,channel_tropism
419,HN8463,GJ7,channel_tropism,channel_tropism
420,HN8463,GJ2,channel_tropism,channel_tropism
421,HN4565,GJ6,channel_tropism,channel_tropism
422,HN4565,GJ5,channel_tropism,channel_tropism
423,HN4565,GJ3,channel_tropism,channel_tropism
424,HN4565,GJ2,channel_tropism,channel_tropism
425,HN9011,GJ9,channel_tropism,channel_tropism
426,HN9011,GJ7,channel_tropism,channel_tropism
427,HN9011,GJ6,channel_tropism,channel_tropism
428,HN9011,GJ2,channel_tropism,channel_tropism
429,HN9011,GJ1,channel_tropism,channel_tropism
430,HN4182,GJ7,channel_tropism,channel_tropism
431,HN4182,GJ2,channel_tropism,channel_tropism
432,HN4182,GJ1,channel_tropism,channel_tropism
433,HN3348,GJ6,channel_tropism,channel_tropism
434,HN3348,GJ3,channel_tropism,channel_tropism
