:START_ID,:END_ID,relation,:TYPE
ETCM_XHCF_2676,14787,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,3711,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,16023,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,19347,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,2617,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,12211,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,7059,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,10118,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,4099,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,1688,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,7500,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,4763,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,8217,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,7501,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,13517,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,20978,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,18787,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,1564,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,10963,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,20925,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,4100,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,17773,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,13816,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,16,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,19059,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,3266,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,936,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,14490,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,19271,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,11600,chemical_protein_link,chemical_protein_link
